name,firstname,position,age,nationality,team,jersey,height,birthdate,birthplace,strong_foot,info_path
Mendes,Diogo,ATT,20,Portugaise,Sporting CP,7,185,05/02/2005,Funchal (Madeira),Droit,europe/portugal/mendes-diogo
Antunes,Tiago,MIL,24,Portugaise,FC Porto,8,170,12/08/2001,Porto,Droit,europe/portugal/antunes-tiago
Semedo,Rafael,DEF,22,Portugaise,Benfica,4,194,22/03/2003,Amadora,Droit,europe/portugal/semedo-rafael
Viana,Gonçalo,DEF,21,Portugaise,SC Braga,2,179,14/11/2004,Braga,Droit,europe/portugal/viana-gonçalo
Pacheco,Rui,ATT,27,Portugaise,Vitória Guimarães,9,181,30/06/1998,Ponta Delgada,Ambidextre,europe/portugal/pacheco-rui
Weber,Maximilian,MIL,21,Allemande,Bayern Munich,6,183,14/03/2004,Munich,Droit,europe/german/maximilian-weber
Hartmann,Felix,ATT,20,Allemande,Borussia Dortmund,25,186,02/11/2005,Dortmund,Droit,europe/german/felix-hartmann
Vogel,Niklas,DEF,23,Allemande,RB Leipzig,4,196,22/07/2002,Hambourg,Gauche,europe/german/niklas-vogel
Ehlers,Jonas,GAR,19,Allemande,Bayer Leverkusen,1,188,10/09/2006,Cologne,Ambidextre,europe/german/jonas-ehlers
Schmitt,Elias,MIL,18,Allemande,Eintracht Francfort,17,175,30/01/2007,Berlin,Droit,europe/german/elias-schmitt
Cherif,Amine,ATT,19,Française,Olympique Lyonnais,10,179,15/05/2006,Vénissieux,Droit,europe/french/amine-cherif
Koné,Moussa,DEF,22,Française,Paris Saint-Germain,3,193,02/09/2003,Bondy,Droit,europe/french/moussa-kone
Le Gallec,Yann,MIL,24,Française,Stade Rennais,8,172,14/02/2001,Brest,Gauche,europe/french/yann-le-gallec
Rossi,Enzo,GAR,26,Française,Olympique de Marseille,16,186,30/11/1999,Marseille,Droit,europe/french/enzo-rossi
Delcourt,Thomas,MIL,21,Française,RC Lens,11,177,22/06/2004,Arras,Ambidextre,europe/french/thomas-delcourt
Okafor,Chinedu,ATT,19,Nigérien,Ajax Amsterdam,9,182,12/06/2006,Lagos,Droit,africa/nigeria/chinedu-okafor
Ibrahim,Yusuf,MIL,24,Nigérien,Enyimba FC,4,188,15/03/2001,Kano,Droit,africa/nigeria/yusuf-ibrahim
Eze,Samuel,MIL,20,Nigérien,Villarreal CF,11,173,22/09/2005,Port Harcourt,Gauche,africa/nigeria/samuel-eze
Adebayo,Moses,DEF,25,Nigérien,FC Porto,5,194,04/11/2000,Abuja,Droit,africa/nigeria/moses-adebayo
Okoye,Emmanuel,GAR,27,Nigérien,LOSC Lille,16,185,30/01/1998,Kaduna,Droit,africa/nigeria/emmanuel-okoye
El Amrani,Hakim,MIL,22,Marocaine,Galatasaray,10,180,14/03/2003,Tétouan,Gauche,africa/morocco/hakim-el-amrani
Benatia,Mehdi,DEF,25,Marocaine,Wydad Casablanca,5,191,22/07/2000,Casablanca,Droit,africa/morocco/mehdi-benatia
Boufal,Sofiane,ATT,19,Marocaine,OGC Nice,19,174,05/11/2006,Fès,Ambidextre,africa/morocco/sofiane-boufal
Bounou,Yassine,GAR,21,Marocaine,Séville FC,13,195,12/09/2004,Marrakech,Gauche,africa/morocco/yassine-bounou
Amrabat,Nordin,MIL,23,Marocaine,Fiorentina,34,182,30/01/2002,Rabat,Droit,africa/morocco/nordin-amrabat
Hakimi,Achraf,DEF,20,Marocaine,Paris Saint-Germain,2,181,04/06/2005,Madrid (Origine marocaine),Droit,africa/morocco/achraf-hakimi
En-Nesyri,Youssef,ATT,24,Marocaine,West Ham,9,188,18/11/2001,Agadir,Gauche,africa/morocco/youssef-en-nesyri
Harit,Amine,MIL,26,Marocaine,Olympique de Marseille,11,179,25/05/1999,Pontoise,Droit,africa/morocco/amine-harit
Saïss,Romain,DEF,27,Marocaine,Al-Sadd,6,190,14/08/1998,Bourg-de-Péage,Gauche,africa/morocco/romain-saiss
El Khannouss,Bilal,MIL,18,Marocaine,KRC Genk,34,178,10/05/2007,Bruxelles,Droit,africa/morocco/bilal-el-khannouss
